orthography	glossing
spring	s p ɹ ɪ ŋ
square	s k w ɛ ə ɹ
square	s k w ɛ ɹ
stand	s t æ n d
star	s t ɑ ɹ
start	s t ɑ ɹ t
state	s t e ɪ t
station	s t e ɪ ʃ ə n
stay	s t e ɪ
stead	s t ɛ d
steam	s t i m
steel	s t i l
step	s t ɛ p
stick	s t ɪ k
still	s t ɪ l
stone	s t o ʊ n
stood	s t ʊ d
stop	s t ɑ p
store	s t ɔ ɹ
story	s t ɔ ɹ i
straight	s t ɹ e ɪ t
strange	s t ɹ e ɪ n d͡ʒ
stream	s t ɹ i m
street	s t ɹ i t
stretch	s t ɹ ɛ t͡ʃ
string	s t ɹ ɪ ŋ
strong	s t ɹ ɔ ŋ
student	s t u d ə n t
study	s t ʌ d i
subject	s ə b d͡ʒ ɛ k t
subject	s ʌ b d͡ʒ ɛ k t
substance	s ʌ b s t ə n s
subtract	s ə b t ɹ æ k t
success	s ə k s ɛ s
such	s ʌ t͡ʃ
sudden	s ʌ d ə n
sugar	ʃ ʊ ɡ ɚ
suggest	s ə ɡ d͡ʒ ɛ s t
suit	s u t
summer	s ʌ m ɚ
sun	s ʌ n
supply	s ə p l a ɪ
supply	s ʌ p l i
support	s ə p ɔ ɹ t
sure	ʃ ɔ ɹ
sure	ʃ ɚ
sure	ʃ ʊ ɹ
surface	s ɝ f ə s
surprise	s ə p ɹ a ɪ z
surprise	s ɚ p ɹ a ɪ z
swim	s w ɪ m
syllable	s ɪ l ə b ə l
symbol	s ɪ m b ə l
system	s ɪ s t ə m
table	t e ɪ b l
table	t e ɪ b ə l
tail	t e ɪ l
take	t e ɪ k
talk	t ɔ k
tall	t ɔ l
teach	t i t͡ʃ
team	t i m
teeth	t i θ
tell	t ɛ l
temperature	t ɛ m p ə ɹ t͡ʃ ɚ
temperature	t ɛ m p ə ɹ ə t͡ʃ ɚ
temperature	t ɛ m p ɹ ə t͡ʃ ɚ
ten	t ɛ n
term	t ɝ m
test	t ɛ s t
thank	ð æ ŋ k
thank	θ æ ŋ k
that	ð æ t
the	ð i
the	ð i
the	ð ɪ
their	ð ɚ
their	ð ɛ ɚ
them	ð ʌ m
then	ð ɛ n
these	ð i z
they	ð e ɪ
thick	θ ɪ k
